coddept,codmpio,codpoblado,department,municipio,refined_name_key
5,5591,5591000,ANTIOQUIA,PUERTO TRIUNFO,puerto triunfo
5,5604,5604000,ANTIOQUIA,REMEDIOS,remedios
5,5607,5607000,ANTIOQUIA,RETIRO,retiro
5,5615,5615000,ANTIOQUIA,RIONEGRO,rionegro
5,5628,5628000,ANTIOQUIA,SABANALARGA,sabanalarga
5,5631,5631000,ANTIOQUIA,SABANETA,sabaneta
5,5642,5642000,ANTIOQUIA,SALGAR,salgar
5,5647,5647000,ANTIOQUIA,SAN ANDRï¿_S DE CUERQUï¿_A,san andr_s de cuerquia
5,5649,5649000,ANTIOQUIA,SAN CARLOS,san carlos
5,5652,5652000,ANTIOQUIA,SAN FRANCISCO,san francisco
5,5656,5656000,ANTIOQUIA,SAN JERï¿_NIMO,san jerï¿_nimo
5,5658,5658000,ANTIOQUIA,SAN JOSï¿_ DE LA MONTAï¿_A,san jos_ de la montaï¿_a
5,5659,5659000,ANTIOQUIA,SAN JUAN DE URABï¿_,san juan de urabï¿_
5,5660,5660000,ANTIOQUIA,SAN LUIS,san luis
5,5664,5664000,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,san pedro de los milagros
5,5665,5665000,ANTIOQUIA,SAN PEDRO DE URABï¿_,san pedro de urabï¿_
5,5667,5667000,ANTIOQUIA,SAN RAFAEL,san rafael
5,5670,5670000,ANTIOQUIA,SAN ROQUE,san roque
5,5674,5674000,ANTIOQUIA,SAN VICENTE FERRER,san vicente ferrer
5,5679,5679000,ANTIOQUIA,SANTA Bï¿_RBARA,santa bï¿_rbara
5,5686,5686000,ANTIOQUIA,SANTA ROSA DE OSOS,santa rosa de osos
5,5690,5690000,ANTIOQUIA,SANTO DOMINGO,santo domingo
5,5697,5697000,ANTIOQUIA,EL SANTUARIO,el santuario
5,5736,5736000,ANTIOQUIA,SEGOVIA,segovia
5,5756,5756000,ANTIOQUIA,SONSï¿_N,sonsï¿_n
5,5761,5761000,ANTIOQUIA,SOPETRï¿_N,sopetrï¿_n
5,5789,5789000,ANTIOQUIA,Tï¿_MESIS,tï¿_mesis
5,5790,5790000,ANTIOQUIA,TARAZï¿_,tarazï¿_
5,5792,5792000,ANTIOQUIA,TARSO,tarso
5,5809,5809000,ANTIOQUIA,TITIRIBï¿_,titiribï¿_
5,5819,5819000,ANTIOQUIA,TOLEDO,toledo
5,5837,5837000,ANTIOQUIA,TURBO,turbo
5,5842,5842000,ANTIOQUIA,URAMITA,uramita
5,5847,5847000,ANTIOQUIA,URRAO,urrao
5,5854,5854000,ANTIOQUIA,VALDIVIA,valdivia
5,5856,5856000,ANTIOQUIA,VALPARAï¿_SO,valparaiso
5,5858,5858000,ANTIOQUIA,VEGACHï¿_,vegachï¿_
5,5861,5861000,ANTIOQUIA,VENECIA,venecia
5,5873,5873000,ANTIOQUIA,VIGï¿_A DEL FUERTE,vigï¿_a del fuerte
5,5885,5885000,ANTIOQUIA,YALï¿_,yalï¿_
5,5887,5887000,ANTIOQUIA,YARUMAL,yarumal
5,5890,5890000,ANTIOQUIA,YOLOMBï¿_,yolombï¿_
5,5893,5893000,ANTIOQUIA,YONDï¿_,yondï¿_
5,5895,5895000,ANTIOQUIA,ZARAGOZA,zaragoza
8,8001,8001000,ATLï¿_NTICO,BARRANQUILLA,barranquilla
8,8078,8078000,ATLï¿_NTICO,BARANOA,baranoa
8,8137,8137000,ATLï¿_NTICO,CAMPO DE LA CRUZ,campo de la cruz
