municipality,refined_name_key
Guavat•À_,guavat•À_
Itag•À_•À_,itag•À_•À_
Jambal•À_,jambal•À_
La Argentina,la argentina
La Cumbre,la cumbre
La Paz,la paz
Land•À_zuri,land•À_zuri
Lebrija,lebrija
Marip•À_,marip•À_
Mariquita,mariquita
Medell•À_n,medell•À_n
Mercaderes ,mercaderes
Mocoa,mocoa
Morales,morales
Murind•À_,murind•À_
Necocl•À_,necocl•À_
Neiva,neiva
Nuevo Col•À_n,nuevo col•À_n
P•À_ez,p•À_ez
Palmira,palmira
Pamplona,pamplona
Patia (El Bordo),patia (el bordo)
Pauna,pauna
Peque,peque
Pereira,pereira
Popay•À_n,popay•À_n
Puerto Berr•À_o,puerto berr•À_o
Puerto Boyac•À_,puerto boyac•À_
Puerto Libertador,puerto libertador
Puerto Parra,puerto parra
Quinchia,quinchia
Riohacha,riohacha
Sabana de Torres,sabana de torres
San Jos_ del Guaviare,san jos_ del guaviare
San Mart•À_n,san mart•À_n
San Pedro de Urab•À_,san pedro de urab•À_
San Vicente de Chucuri,san vicente de chucuri
Santa Marta ,santa marta
Santander de Quilichao,santander de quilichao
Saravena,saravena
Sevilla,sevilla
Silvia ,silvia
Solita,solita
Suaza,suaza
Tame,tame
Tib•À_,tib•À_
Tona,tona
Torib•À_o,torib•À_o
Tulu•À_,tulu•À_
Tunja,tunja
Turbo,turbo
Uramita,uramita
Valdivia,valdivia
Valledupar,valledupar
V_lez,v_lez
Vergara ,vergara
Victoria,victoria
Villavicencio,villavicencio
Viot•À_,viot•À_
Vista Hermosa,vista hermosa
Yacop•À_,yacop•À_
Yumbo,yumbo
Acevedo,acevedo
Aipe,aipe
Algeciras,algeciras
Almaguer,almaguer
Apartad•À_,apartad•À_
Armero,armero guayabal
Barrancabermeja,barrancabermeja
Becerril,becerril
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Buga,buga
C•À_ceres,c•À_ceres
Cachir•À_,cachira
Cali,cali
Caloto,caloto
Candelaria,candelaria
Carepa,carepa
Cartagena del Chair•À_,cartagena del chair•À_
Chigorod•À_,chigorod•À_
Cimitarra,cimitarra
Cocorn•À_,cocorn•À_
Corinto,corinto
Dagua,dagua
El Doncello,el doncello
El Paujil,el paujil
El Play•À_n,el play•À_n
El Tambo,el tambo
Florencia,florencia
Flori•À_n,flori•À_n
Flori•À_n ,flori•À_n
Frontino,frontino
Garz•À_n,garz•À_n
Gramalote,gramalote
Granada,granada
Guavat•À_,guavat•À_
Heliconia,heliconia
Isnos,isnos
Itag•À_•À_,itag•À_•À_
Jamund•À_,jamund•À_
Jos_ de Ocun_,jos_ de ocun_
La Palma,la palma
La Paz,la paz
La Vega,la vega
La Victoria,la victoria
Lebrija,lebrija
Luruaco,luruaco
Manizales,manizales
Mariquita,mariquita
Medell•À_n,medell•À_n
Monter•À_a,monter•À_a
Morales,morales
Mutat•À_,mutat•À_
Neiva,neiva
Obando,obando
Otanche,otanche
Palermo,palermo
Palestina,palestina
Palmira,palmira
Patia (El Bordo),patia (el bordo)
Pauna,pauna
Pitalito,pitalito
Planadas,planadas
Popay•À_n,popay•À_n
Puente Nacional,puente nacional
Puerto Berr•À_o,puerto berr•À_o
Puerto Boyac•À_,puerto boyac•À_
Puerto Gait•À_n,puerto gait•À_n
Puerto Parra,puerto parra
Puerto Wilches,puerto wilches
Riohacha,riohacha
Rionegro,rionegro
Sabana de Torres,sabana de torres
San Agust•À_n,san agust•À_n
San Alberto,san alberto
San Gil,san gil
San Pablo,san pablo
San Pedro de Urab•À_,san pedro de urab•À_
San Sebasti•À_n,san sebasti•À_n
San Vicente de Chucuri,san vicente de chucuri
Santander de Quilichao,santander de quilichao
Saravena,saravena
Simacota,simacota
Simit•À_,simit•À_
Sucre,sucre
Tame,tame
T•À_mesis,t•À_mesis
Tello,tello
Tib•À_,tib•À_
Tierradentro,tierradentro
Timan•À_,timan•À_
Turbo,turbo
Valdivia,valdivia
Valledupar,valledupar
Venecia,venecia
Yacop•À_,yacop•À_
Yumbo,yumbo
Zipaquir•À_,zipaquir•À_
Acac•À_as,acac•À_as
Aguachica,aguachica
Aguadas,aguadas
Algeciras,algeciras
Almaguer,almaguer
Amag•À_,amag•À_
Andes,andes
Apartad•À_,apartad•À_
Arauquita,arauquita
Argelia,argelia
Armenia,armenia
Balboa,balboa
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Betulia,betulia
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Bugalagrande,bugalagrande
Cajibio,cajibio
Caldas,caldas
Cali,cali
Campoalegre,campoalegre
Candelaria,candelaria
Caracol•À_,caracol•À_
Cartagena,cartagena
Cartago,cartago
Caucasia,caucasia
Cerrito,cerrito
Charta,charta
Chigorod•À_,chigorod•À_
Chipat•À_,chipat•À_
Cimitarra,cimitarra
Circasia,circasia
Cocorn•À_,cocorn•À_
Corinto,corinto
Corozal,corozal
Cubarral,cubarral
Cunday,cunday
Dosquebradas,dosquebradas
El Carmen de Chucur•À_,el carmen de chucur•À_
El Tambo,el tambo
Florencia,florencia
Florida,florida
Gigante,gigante
Granada,granada
Guacar•À_,guacar•À_
Ibague,ibague
Inz•À_,inz•À_
Itag•À_•À_,itag•À_•À_
La Macarena,la macarena
La Monta•À_ita,la monta•À_ita
La Paz,la paz
La Teba•À_da,la teba•À_da
Manizales,manizales
Mariquita,mariquita
Matanza,matanza
Medell•À_n,medell•À_n
Miranda,miranda
Mocoa,mocoa
Montenegro,montenegro
Morales,morales
Murind•À_,murind•À_
Mutat•À_,mutat•À_
Muzo,muzo
Natagaima,natagaima
Necocl•À_,necocl•À_
Oca•À_a,oca•À_a
Paime,paime
Palermo,palermo
Palmira,palmira
Pasto,pasto
Patia (El Bordo),patia (el bordo)
Paz de Ariporo,paz de ariporo
Pereira,pereira
Planadas,planadas
Pueblo Rico,pueblo rico
Puerto Berr•À_o,puerto berr•À_o
Puerto Boyac•À_,puerto boyac•À_
Puerto Gait•À_n,puerto gait•À_n
Puerto Lleras,puerto lleras
Puerto Nare,puerto nare
Puerto Parra,puerto parra
Rioblanco,rioblanco
Riofr•À_o,riofr•À_o
Rionegro,rionegro
Riosucio,riosucio
Rosas,rosas
Sabana de Torres,sabana de torres
Saman•À_,saman•À_
San Benito  ,san benito
San Benito Abad,san benito abad
San Jos_ del Guaviare,san jos_ del guaviare
San Mart•À_n,san mart•À_n
San Pablo,san pablo
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa Elena del Op•À_n,santa elena del op•À_n
Santa Marta,santa marta
Santander de Quilichao,santander de quilichao
Santo Domingo,santo domingo
Saravena,saravena
Sevilla,sevilla
Sotar•À_,sotar•À_
Suaza,suaza
Surat•À_,surat•À_
Tello,tello
Tib•À_,tib•À_
Timan•À_,timan•À_
Timb•À_o,timb•À_o
Tulu•À_,tulu•À_
Turbo,turbo
Valledupar,valledupar
Villa Rica,villa rica
Villarrica,villa rica
Villavicencio,villavicencio
Yacop•À_,yacop•À_
Yond•À_,yond•À_
Yopal,yopal
Yumbo,yumbo
Zarzal,zarzal
Amalfi,amalfi
Bucaramanga,bucaramanga
Caracol•À_,caracol•À_
Cerrito,cerrito
Chima,chim•À_
Contrataci•À_n,contrataci•À_n
Cubarral,cubarral
Curit•À_,curit•À_
Curuman•À_,curuman•À_
El Castillo,el castillo
El Play•À_n,el play•À_n
Fuente de Oro,fuente de oro
La Mesa,la mesa
Maceo,maceo
Mapirip•À_n,mapirip•À_n
Mesetas,mesetas
Puerto Boyac•À_,puerto boyac•À_
Puerto L•À_pez,puerto l•À_pez
Puerto Nare,puerto nare
Remedios,remedios
San Jos_ del Guaviare,san jos_ del guaviare
San Mart•À_n,san mart•À_n
Sucre,sucre
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yond•À_,yond•À_
Abriaqu•À_,abriaqu•À_
Ach•À_,ach•À_
Aguachica,aguachica
Agust•À_n Codazzi,agust•À_n codazzi
Albania,albania
Algeciras,algeciras
Amalfi,amalfi
Anserma,anserma
Anserma  ,anserma
Ansermanuevo,ansermanuevo
Apartad•À_,apartad•À_
Aracataca,aracataca
Aratoca,aratoca
Arauca,arauca
Arauquita,arauquita
Argelia,argelia
Ayapel,ayapel
Balboa,balboa
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Belalcazar,belalcazar
Bel_n de Umbr•À_a,bel_n de umbr•À_a
Bello,bello
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenos Aires,buenos aires
C•À_ceres,c•À_ceres
Caicedonia,caicedonia
Cajibio,cajibio
Calarc•À_,calarc•À_
Caldono,caldono
Cali,cali
Campo Capote,campo capote
Canalete,canalete
Candelaria,candelaria
Ca•À_asgordas ,ca•À_asgordas
Carepa,carepa
Cartagena del Chair•À_,cartagena del chair•À_
Cartago,cartago
Caucasia,caucasia
Cerrito,cerrito
Chaguan•À_,chaguan•À_
Charal•À_,charal•À_
Ch•À_a,ch•À_a
Chigorod•À_,chigorod•À_
Chimichagua,chimichagua
Chinchin•À_,chinchin•À_
Chiriguan•À_,chiriguan•À_
Chiscas,chiscas
Cienaga,cienaga
Ci_naga de Oro,ci_naga de oro
C•À_mbita,c•À_mbita
Convenci•À_n,convenci•À_n
Corinto,corinto
Corozal,corozal
Cunday,cunday
Curillo,curillo
Curuman•À_,curuman•À_
Dabeiba,dabeiba
Dosquebradas,dosquebradas
El Bagre,el bagre
El Bordo,el bordo
El Brillante,el brillante
El Carmen,el carmen
El Castillo,el castillo
El Centro,el centro
El Paujil,el paujil
El Play•À_n,el play•À_n
El Rosario,el rosario
Florencia,florencia
Florida ,florida
Floridablanca,floridablanca
Fonseca,fonseca
Gaira,gaira
Garz•À_n,garz•À_n
Gigante,gigante
Granada,granada
Guaca,guaca
Guadalupe,guadalupe
Inz•À_,inz•À_
Isnos,isnos
Itag•À_•À_,itag•À_•À_
Jambal•À_,jambal•À_
La Belleza,la belleza
La Ceja,la ceja
La Dorada,la dorada
La Macarena,la macarena
La Paz,la paz
La Plata,la plata
La Playa,la playa
La Virginia,la virginia
Lebrija,lebrija
Los C•À_rdobas,los c•À_rdobas
Magangu_,magangu_
Manaure,manaure
Manizales,manizales
