municipality,refined_name_key
San Jer•À_nimo,san jer•À_nimo
San Jos_ de Miranda,san jos_ de miranda
San Jos_ del Guaviare,san jos_ del guaviare
San Mart•À_n,san mart•À_n
San Pablo,san pablo
San Vicente de Chucuri,san vicente de chucuri
Santa Cruz,santa cruz
Santa Marta,santa marta
Santander de Quilichao,santander de quilichao
Santo Domingo,santo domingo
Saravena,saravena
Segovia,segovia
Sevilla,sevilla
Simacota,simacota
Simit•À_,simit•À_
Sinc_,sinc_
Sincelejo,sincelejo
Socha,socha
Sons•À_n,sons•À_n
Surat•À_,surat•À_
Tamalameque,tamalameque
Tame,tame
Taraz•À_,taraz•À_
Tenerife,tenerife
Tib•À_,tib•À_
Tierralta,tierralta
Toledo,toledo
Totor•À_,totor•À_
Trujillo,trujillo
Tulua,tulua
Turbo,turbo
Valdivia,valdivia
Valencia,valencia
Valledupar,valledupar
Venecia,venecia
Victoria,victoria
Yolomb•À_,yolomb•À_
Yond•À_,yond•À_
Zapatoca,zapatoca
Zaragoza,zaragoza
Aguachica,aguachica
Aguazul,aguazul
Agust•À_n Codazzi,agust•À_n codazzi
Albania,albania
Angostura,angostura
Ansermanuevo,ansermanuevo
Apartad•À_,apartad•À_
Aratoca,aratoca
Arauca,arauca
Arauquita,arauquita
Arenal,arenal
Ariguan•À_,ariguan•À_
Armenia,armenia
Ayapel,ayapel
Baraya,baraya
Barrancabermeja,barrancabermeja
Barranco de Loba,barranco de loba
Barranquilla,barranquilla
Becerril,becerril
Bello,bello
Belmira,belmira
Betania,betania
Betulia,betulia
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bosconia,bosconia
Bucaramanga,bucaramanga
Bucarasica,bucarasica
Buenaventura,buenaventura
Buenavista,buenavista
C•À_ceres,c•À_ceres
Cachira,cachira
C•À_cota,c•À_cota
Cajibio,cajibio
Caldono,caldono
Cali,cali
Caloto,caloto
Campamento,campamento
Canalete,canalete
Candelaria,candelaria
Ca•À_asgordas ,ca•À_asgordas
Carcasi,carcasi
Carepa,carepa
Cartagena,cartagena
Caucasia,caucasia
Cerrito,cerrito
Chaguan•À_,chaguan•À_
Chaparral,chaparral
Charta,charta
Chigorod•À_,chigorod•À_
Chim•À_,chim•À_
Chiriguan•À_,chiriguan•À_
Chita,chita
Chivolo,chivolo
Cienaga,cienaga
Cimitarra,cimitarra
Cisneros,cisneros
Coloso,coloso
Contrataci•À_n,contrataci•À_n
Convenci•À_n,convenci•À_n
Copacabana,copacabana
Corinto,corinto
Coyaima,coyaima
Cubarral,cubarral
C•À_cuta,c•À_cuta
Curuman•À_,curuman•À_
Dagua,dagua
Dolores,dolores
Don Mat•À_as,don mat•À_as
Dosquebradas,dosquebradas
El Bagre,el bagre
El Banco,el banco
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Copey,el copey
El Pi•À_•À_n,el pi•À_•À_n
Envigado,envigado
Falan,falan
Florencia,florencia
Florida,florida
Frontino,frontino
Garz•À_n,garz•À_n
Gir•À_n,gir•À_n
Gramalote,gramalote
Granada,granada
Guaca,guaca
Guamal,guamal
Guarne,guarne
Guatica,guatica
Guavat•À_,guavat•À_
Hacari,hacari
Ibague,ibague
Itag•À_•À_,itag•À_•À_
Ituango,ituango
Jeric•À_,jeric•À_
La Belleza,la belleza
La Cumbre,la cumbre
La Dorada,la dorada
La Estrella,la estrella
La Jagua de Ib•À_rico,la jagua de ib•À_rico
La Palma,la palma
La Playa,la playa
La Vega,la vega
Lebrija,lebrija
Los C•À_rdobas,los c•À_rdobas
Los Palmitos,los palmitos
Manizales,manizales
Mar•À_a La Baja,mar•À_a la baja
Matanza,matanza
Medell•À_n,medell•À_n
Mesetas,mesetas
Mil•À_n,mil•À_n
Miraflores,miraflores
Miranda,miranda
Mocoa,mocoa
Montelibano,montel•À_bano
Monter•À_a,monter•À_a
Morroa,morroa
Oca•À_a,oca•À_a
Ovejas,ovejas
Pailitas,pailitas
Pajarito,pajarito
Palmira,palmira
Pamplona,pamplona
Patia (El Bordo),patia (el bordo)
Paz de Ariporo,paz de ariporo
Pelaya,pelaya
Peque,peque
Pereira,pereira
Piedecuesta,piedecuesta
Planadas,planadas
Plato,plato
Popay•À_n,popay•À_n
Pradera,pradera
Puerto Asis,puerto as•À_s
Puerto Berr•À_o,puerto berr•À_o
Puerto Libertador,puerto libertador
Puerto Nare,puerto nare
Puerto Parra,puerto parra
Puerto Rico,puerto rico
Puerto Triunfo,puerto triunfo
Puerto Wilches,puerto wilches
Remedios,remedios
Riofr•À_o,riofr•À_o
Rionegro,rionegro
Sabana de Torres,sabana de torres
Saboya,saboya
Sahag•À_n,sahag•À_n
Salgar,salgar
San Alberto,san alberto
San Antonio,san antonio
San Calixto,san calixto
San Carlos,san carlos
San Cayetano,san cayetano
San Diego,san diego
San Eduardo,san eduardo
San Jacinto,san jacinto
San Jos_ de Miranda,san jos_ de miranda
San Jos_ del Guaviare,san jos_ del guaviare
San Juan de Arama,san juan de arama
San Juan de Cesar,san juan de cesar
San Juan de Urab•À_,san juan de urab•À_
San Juan Nepomuceno,san juan nepomuceno
San Mart•À_n,san mart•À_n
San Onofre,san onofre
San Pablo,san pablo
San Pablo de Borbur,san pablo de borbur
San Pedro de Urab•À_,san pedro de urab•À_
San Roque,san roque
San Vicente de Chucuri,san vicente de chucuri
Santa Rosa,santa rosa
Santa Rosa del Sur,santa rosa del sur
Santo Domingo,santo domingo
Saravena,saravena
Sardinata,sardinata
Segovia,segovia
Silos,silos
Simit•À_,simit•À_
Sincelejo,sincelejo
Soacha,soacha
T•À_mara,t•À_mara
Tame,tame
Taraz•À_,taraz•À_
Tarso,tarso
Tib•À_,tib•À_
Tierralta,tierralta
Trujillo,trujillo
Tulua,tulua
Turbo,turbo
Turmeque,turmeque
Uribia,uribia
Urrao,urrao
Usme,usme
Valencia,valencia
Valledupar,valledupar
V_lez,v_lez
Villagarz•À_n,villagarz•À_n
Villarrica,villa rica
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yal•À_,yal•À_
Yond•À_,yond•À_
Yopal,yopal
Zambrano,zambrano
Zapatoca,zapatoca
Zaragoza,zaragoza
Acand•À_,acand•À_
Aguachica,aguachica
Algeciras,algeciras
Altamira,altamira
Amalfi,amalfi
Ancuya,ancuya
Anserma,anserma
Anz•À_,anz•À_
Apartad•À_,apartad•À_
Aquitania,aquitania
Aracataca,aracataca
Arauca,arauca
Arauquita,arauquita
Arboledas,arboledas
Arboletes,arboletes
Argelia,argelia
Arjona,arjona
Astrea,astrea
Balboa,balboa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Becerril,becerril
Bel_n de Umbr•À_a,bel_n de umbr•À_a
Bello,bello
Betania,betania
Bochalema,bochalema
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Buga,buga
Cajibio,cajibio
Caldas,caldas
Cali,cali
Caloto,caloto
Campamento,campamento
Candelaria,candelaria
Caparrap•À_,caparrap•À_
Caramanta,caramanta
Carepa,carepa
Carmen de Viboral,carmen de viboral
Cartagena,cartagena
Cauca ,cauca
Caucasia,caucasia
Ceret_,ceret_
Cerrito,cerrito
Chameza,chameza
Chaparral,chaparral
Charta,charta
Chigorod•À_,chigorod•À_
Chiquinquir•À_,chiquinquir•À_
Chitaga,chitaga
Chivolo,chivolo
Cienaga,cienaga
Cimitarra,cimitarra
Cocorn•À_,cocorn•À_
Concepci•À_n,concepci•À_n
Convenci•À_n,convenci•À_n
Cubarral,cubarral
C•À_cuta,c•À_cuta
Dabeiba,dabeiba
Dagua,dagua
El Bagre,el bagre
El Carmen,el carmen
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Copey,el copey
El Dovio,el dovio
El Tambo,el tambo
El Tarra,el tarra
El Zulia,el zulia
Envigado,envigado
Espinal,espinal
Florencia,florencia
Floridablanca,floridablanca
Fortul,fortul
Fuente de Oro,fuente de oro
Fundaci•À_n,fundaci•À_n
Gamarra,gamarra
Garz•À_n,garz•À_n
Girardot,girardot
Gir•À_n,gir•À_n
Granada,granada
Guaca,guaca
Guatica,guatica
Itag•À_•À_,itag•À_•À_
Jamund•À_,jamund•À_
La Ceja,la ceja
La Dorada,la dorada
La Estrella,la estrella
La Jagua de Ib•À_rico,la jagua de ib•À_rico
La Paz,la paz
La Pe•À_a,la pe•À_a
La Plata,la plata
La Vega,la vega
Lebrija,lebrija
Los C•À_rdobas,los c•À_rdobas
Los Patios,los patios
Maceo,maceo
Magangu_,magangu_
Maicao,maicao
M•À_laga,m•À_laga
Manizales,manizales
Mar•À_a La Baja,mar•À_a la baja
Marsella,marsella
Matanza,matanza
Medell•À_n,medell•À_n
Medina,medina
Mercaderes,mercaderes
Mesetas,mesetas
Mocoa,mocoa
Monter•À_a,monter•À_a
Necocl•À_,necocl•À_
Ortega,ortega
Ovejas,ovejas
Padilla,padilla
Pamplona,pamplona
Patia (El Bordo),patia (el bordo)
Paz de Ariporo,paz de ariporo
Pereira,pereira
Popay•À_n,popay•À_n
Puerto Boyac•À_,puerto boyac•À_
Puerto Concordia,puerto concordia
Puerto Escondido,puerto escondido
Puerto Gait•À_n,puerto gait•À_n
Puerto Libertador,puerto libertador
Puerto Nare,puerto nare
Puerto Parra,puerto parra
Puerto Rond•À_n,puerto rond•À_n
Puerto Salgar,puerto salgar
Puerto Triunfo,puerto triunfo
Puerto Wilches,puerto wilches
Purac_,purac_
Quimbaya,quimbaya
Quinchia,quinchia
Restrepo,restrepo
Riohacha,riohacha
Rionegro,rionegro
Riosucio,riosucio
Risaralda,risaralda
Rivera,rivera
Sabana de Torres,sabana de torres
Salazar,salazar
San Alberto,san alberto
San Andr_s    ,san andr_s
San Andr_s de Sotavento,san andr_s de sotavento
San Calixto,san calixto
San Carlos,san carlos
San Cayetano,san cayetano
San Jacinto,san jacinto
San Jos_ de Miranda,san jos_ de miranda
San Juan de Arama,san juan de arama
San Juan de Urab•À_,san juan de urab•À_
San Juan Nepomuceno,san juan nepomuceno
San Mart•À_n,san mart•À_n
San Pedro de Urab•À_,san pedro de urab•À_
San Roque,san roque
San Sebasti•À_n de Buenavista,san sebasti•À_n de buenavista
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa Marta,santa marta
Santa Rosa de Cabal,santa rosa de cabal
Santander de Quilichao,santander de quilichao
Segovia,segovia
Simit•À_,simit•À_
Sincelejo,sincelejo
Soacha,soacha
Soledad,soledad
Sons•À_n,sons•À_n
Sup•À_a,sup•À_a
T•À_mesis,t•À_mesis
Tenerife,tenerife
Tierralta,tierralta
Timb•À_o,timb•À_o
Tiquisio,tiquisio
Toledo,toledo
Toluviejo,toluviejo
Tona,tona
Tulu•À_,tulu•À_
Turbo,turbo
Ulloa,ulloa
Uribe,uribe
Urrao,urrao
Valledupar,valledupar
Vegach•À_,vegach•À_
V_lez,v_lez
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yarumal,yarumal
Yond•À_,yond•À_
Yumbo,yumbo
Zaragoza,zaragoza
Aguachica,aguachica
Aguazul,aguazul
Algeciras,algeciras
Amag•À_,amag•À_
Angostura,angostura
Anserma,anserma
Antioquia,antioquia
Apartad•À_,apartad•À_
Aquitania,aquitania
Aracataca,aracataca
Aratoca,aratoca
Arauca,arauca
Arauquita,arauquita
Ataco,ataco
Balboa,balboa
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Becerril,becerril
Bel_n de los Andaqu•À_es,bel_n de los andaqu•À_es
Bello,bello
Betulia,betulia
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Bugalagrande,bugalagrande
C•À_ceres,c•À_ceres
Caldono,caldono
Cali,cali
Caloto,caloto
Campamento,campamento
Ca•À_asgordas ,ca•À_asgordas
Carepa,carepa
Carmen de Viboral,carmen de viboral
Carolina,carolina
Cartagena,cartagena
Cartago,cartago
Caucasia,caucasia
Ch•À_a,ch•À_a
Chigorod•À_,chigorod•À_
Chinchin•À_,chinchin•À_
Cienaga,cienaga
Cimitarra,cimitarra
Cocorn•À_,cocorn•À_
Copacabana,copacabana
C•À_rdoba,c•À_rdoba
Corinto,corinto
Corozal,corozal
C•À_cuta,c•À_cuta
Cucutilla,cucutilla
Cumaral,cumaral
Cumbal,cumbal
Curuman•À_,curuman•À_
Don Mat•À_as,don mat•À_as
El Carmen de Atrato,el carmen de atrato
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Guamo,el guamo
El Pe•À_•À_n,el pe•À_•À_n
El Play•À_n,el play•À_n
El Tarra,el tarra
El Zulia,el zulia
Florencia,florencia
Florida  ,florida
Fortul,fortul
Fredonia,fredonia
Frontino,frontino
Fuente de Oro,fuente de oro
Fundaci•À_n,fundaci•À_n
Gir•À_n,gir•À_n
Granada,granada
Guamal,guamal
Hacari,hacari
Ibague,ibague
Jerusalen,jerusalen
La Belleza,la belleza
La Jagua de Ib•À_rico,la jagua de ib•À_rico
La Palma,la palma
La Paz (Robles),la paz (robles)
La Uni•À_n,la uni•À_n
Labranzagrande,labranzagrande
Lebrija,lebrija
L•À_bano,l•À_bano
Manizales,manizales
Mapirip•À_n,mapirip•À_n
Mar•À_a La Baja,mar•À_a la baja
Marsella,marsella
Medell•À_n,medell•À_n
Melgar,melgar
Mercaderes,mercaderes
Mesetas,mesetas
Molagavita,molagavita
MonteL•À_bano,montel•À_bano
Monter•À_a,monter•À_a
Morroa,morroa
Mutat•À_,mutat•À_
Necocl•À_,necocl•À_
Obando,obando
Oca•À_a,oca•À_a
Oiba,oiba
Ortega,ortega
Ovejas,ovejas
Pailitas,pailitas
Pasca,pasca
Patia (El Bordo),patia (el bordo)
Pauna,pauna
Pedraza,pedraza
Pereira,pereira
Pivijay,pivijay
Plato,plato
Policarpa,policarpa
Prado,prado
Puerto Berr•À_o,puerto berr•À_o
Puerto Gait•À_n,puerto gait•À_n
Puerto Nare,puerto nare
Puerto Rico,puerto rico
Puerto Rond•À_n,puerto rond•À_n
Puerto Triunfo,puerto triunfo
Purac_,purac_
Quinchia,quinchia
Remedios,remedios
R•À_o Viejo,r•À_o viejo
Rioblanco,rioblanco
Riohacha,riohacha
Rionegro,rionegro
Rosas,rosas
Sabana de Torres,sabana de torres
San Alberto,san alberto
San Calixto,san calixto
San Carlos,san carlos
San Cayetano,san cayetano
San Diego,san diego
San Jacinto,san jacinto
San Jeronimo ,san jer•À_nimo
San Jos_ del Guaviare,san jos_ del guaviare
San Juan de Arama,san juan de arama
San Juan de Betulia,san juan de betulia
San Juan de Cesar,san juan de cesar
San Juan Nepomuceno,san juan nepomuceno
San Luis,san luis
San Mart•À_n,san mart•À_n
San Mateo,san mateo
San Pablo,san pablo
San Pedro,san pedro
San Pedro de Urab•À_,san pedro de urab•À_
San Vicente de Chucuri,san vicente de chucuri
Santa Ana,santa ana
Santa Marta,santa marta
Santa Rosa,santa rosa
Santa Rosa del Sur,santa rosa del sur
Santiago,santiago
Santo Domingo,santo domingo
Santo Tom•À_s,santo tom•À_s
Santuario,santuario
Saravena,saravena
Sardinata,sardinata
Sucre,sucre
Talaigua Nuevo,talaigua nuevo
T•À_mara,t•À_mara
Tame ,tame
Taraz•À_,taraz•À_
Tarso,tarso
Teorama,teorama
Tib•À_,tib•À_
Tierralta,tierralta
Titirib•À_,titirib•À_
Toluviejo,toluviejo
Tona,tona
Tulu•À_,tulu•À_
Tumaco,tumaco
Turbo,turbo
Uribe,uribe
Urrao,urrao
Urumita,urumita
Valdivia,valdivia
Valencia,valencia
Valledupar,valledupar
Versalles,versalles
Villa del Rosario,villa del rosario
Villanueva,villanueva
Viot•À_,viot•À_
Yarumal,yarumal
Yolomb•À_,yolomb•À_
Yumbo,yumbo
Ach•À_,ach•À_
Aguachica,aguachica
Aguadas,aguadas
Almaguer,almaguer
Ansermanuevo,ansermanuevo
Antioquia,antioquia
Apartad•À_,apartad•À_
Aracataca,aracataca
Arauca,arauca
Arauquita,arauquita
Arboletes,arboletes
Armero,armero guayabal
Bagad•À_,bagad•À_
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Barrancas,barrancas
Barranquilla,barranquilla
Becerril,becerril
Bello,bello
Betania,betania
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Buenavista,buenavista
Buga,buga
Cajibio,cajibio
Cali,cali
Campamento,campamento
Canalete,canalete
Ca•À_asgordas ,ca•À_asgordas
Carepa,carepa
Carmen de Viboral,carmen de viboral
Cartagena,cartagena
Cerro San Antonio,cerro de san antonio
Chameza,chameza
Chigorod•À_,chigorod•À_
Chinchin•À_,chinchin•À_
Chiquinquir•À_,chiquinquir•À_
Chita,chita
Chita ,chita
Cienaga,cienaga
Cocorn•À_,cocorn•À_
Concepci•À_n,concepci•À_n
Confines,confines
Convenci•À_n,convenci•À_n
C•À_rdoba,c•À_rdoba
Coyaima,coyaima
C•À_cuta,c•À_cuta
Curillo,curillo
Curuman•À_,curuman•À_
Dabeiba,dabeiba
Dosquebradas,dosquebradas
El Carmen,el carmen
El Carmen  ,el carmen
El Carmen de Bol•À_var,el carmen de bol•À_var
El Carmen de Chucur•À_,el carmen de chucur•À_
El Castillo,el castillo
El Cocuy,el cocuy
El Copey,el copey
El Paso,el paso
El Pi•À_•À_n,el pi•À_•À_n
El Play•À_n,el play•À_n
El Tambo,el tambo
El Zulia,el zulia
Envigado,envigado
Exterior,exterior
Facatativa,facatativa
Florencia,florencia
Frontino,frontino
Gir•À_n,gir•À_n
Granada,granada
Guacar•À_,guacar•À_
Guamal,guamal
Ibague,ibague
Ipiales,ipiales
La Calera,la calera
La Celia,la celia
La Dorada,la dorada
La Gloria,la gloria
La Paz (Robles),la paz (robles)
La Playa,la playa
La Sierra,la sierra
La Uni•À_n,la uni•À_n
La Virginia,la virginia
Lebrija,lebrija
Lejan•À_as,lejan•À_as
Liborina,liborina
Los Palmitos,los palmitos
Magangu_,magangu_
Maicao,maicao
Majagual,majagual
M•À_laga,m•À_laga
Matanza,matanza
Medell•À_n,medell•À_n
Mesetas,mesetas
Miranda,miranda
Mocoa,mocoa
Necocl•À_,necocl•À_
Nilo,nilo
Oca•À_a,oca•À_a
Orocue,orocue
Ortega,ortega
Ovejas,ovejas
Pailitas,pailitas
Palmito,palmito
Pamplona,pamplona
Pasto,pasto
Patia (El Bordo),patia (el bordo)
Pedraza,pedraza
Pereira,pereira
Piedecuesta,piedecuesta
Piendam•À_,piendam•À_
Planadas,planadas
Planeta Rica,planeta rica
Plato,plato
Popay•À_n,popay•À_n
Pueblo Rico,pueblo rico
Pueblorrico,pueblo rico
Puerto As•À_s,puerto as•À_s
Puerto Boyac•À_,puerto boyac•À_
Puerto Caicedo,puerto caicedo
Puerto Gait•À_n,puerto gait•À_n
Puerto Lleras,puerto lleras
Puerto Wilches,puerto wilches
Purac_,purac_
Pur•À_sima,pur•À_sima
Quimbaya,quimbaya
Quinchia,quinchia
Recetor,recetor
Remedios,remedios
Restrepo,restrepo
R•À_o de Oro,r•À_o de oro
Riofr•À_o,riofr•À_o
Rionegro,rionegro
Riosucio,riosucio
Sabana de Torres,sabana de torres
Salgar,salgar
Samaniego,samaniego
Sampues,sampues
San Agust•À_n,san agust•À_n
San Alberto,san alberto
San Andr_s de Sotavento,san andr_s de sotavento
San Antonio,san antonio
San Carlos,san carlos
San Jer•À_nimo,san jer•À_nimo
San Jos_  del Palmar,san jos_  del palmar
San Jos_ de la Monta•À_a,san jos_ de la monta•À_a
San Jos_ del Guaviare,san jos_ del guaviare
San Luis,san luis
San Marcos,san marcos
San Mart•À_n,san mart•À_n
San Onofre,san onofre
San Pedro de Urab•À_,san pedro de urab•À_
San Vicente de Chucuri,san vicente de chucuri
San Vicente del Cagu•À_n,san vicente del cagu•À_n
Santa B•À_rbara,santa b•À_rbara
Santa Catalina,santa catalina
Santa Marta,santa marta
Santo Domingo,santo domingo
Saravena,saravena
Segovia,segovia
Sevilla,sevilla
Sibat_,sibat_
Silvia,silvia
Simacota,simacota
Sinc_,sinc_
Sincelejo,sincelejo
Soacha,soacha
Suarez,suarez
Sucre,sucre
Surat•À_,surat•À_
Tabio,tabio
T•À_mesis,t•À_mesis
Taraz•À_,taraz•À_
Tauramena ,tauramena
Tenerife,tenerife
Tib•À_,tib•À_
Toluviejo,toluviejo
Totor•À_,totor•À_
Trinidad  ,trinidad
Trujillo,trujillo
Tulu•À_,tulu•À_
Turbo,turbo
Uribe,uribe
Urrao,urrao
Usiacuri,usiacuri
Valledupar,valledupar
Villa del Rosario,villa del rosario
Villagarz•À_n,villagarz•À_n
Villavicencio,villavicencio
Vista Hermosa,vista hermosa
Yarumal,yarumal
Yond•À_,yond•À_
Yopal,yopal
Yumbo,yumbo
Abrego,abrego
Ach•À_,ach•À_
Aguachica,aguachica
Aguazul,aguazul
Amalfi,amalfi
Andaluc•À_a,andaluc•À_a
Anolaima,anolaima
Anor•À_,anor•À_
Apartad•À_,apartad•À_
Apia,apia
Arauca,arauca
Arboledas,arboledas
Argelia,argelia
Ariguani-El Dificil,ariguan•À_
Armenia,armenia
Astrea,astrea
Ataco,ataco
Balboa,balboa
Baranoa,baranoa
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Becerril,becerril
Bello,bello
Betania,betania
Betulia,betulia
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bucaramanga,bucaramanga
Buenaventura,buenaventura
Buenos Aires,buenos aires
C•À_ceres,c•À_ceres
Caicedo,caicedo
Cajibio,cajibio
Caldono,caldono
Cali,cali
Caloto,caloto
C•À_queza,c•À_queza
Carepa,carepa
Carmen de Viboral,carmen de viboral
Cartago,cartago
Cerrito,cerrito
Chal•À_n,chal•À_n
Chaparral,chaparral
Chigorod•À_,chigorod•À_
Chitaga,chitaga
Chivolo,chivolo
Choachi,choachi
Cienaga,cienaga
Cisneros,cisneros
Cocorn•À_,cocorn•À_
Coloso,coloso
Convenci•À_n,convenci•À_n
C•À_rdoba,c•À_rdoba
Corinto,corinto
Corozal,corozal
Coyaima,coyaima
Cubar•À_,cubar•À_
C•À_cuta,c•À_cuta
Cunday,cunday
Dabeiba,dabeiba
Dagua,dagua
Dibulla,dibulla
Don Mat•À_as,don mat•À_as
El Carmen de Bol•À_var,el carmen de bol•À_var
El Castillo,el castillo
El Cerrito,el cerrito
El Copey,el copey
El Doncello,el doncello
El Dorado,el dorado
El Paso,el paso
El Play•À_n,el play•À_n
El Tarra,el tarra
El Zulia,el zulia
Enciso,enciso
Envigado,envigado
Estado de Apure-P•À_ez,estado apure
Exterior,exterior
Facatativa,facatativa
Florencia,florencia
Floridablanca,floridablanca
Fortul,fortul
Frontino,frontino
Galeras,galeras
Granada,granada
Guaca,guaca
Guadalupe,guadalupe
Guamo,guamo
Guarne,guarne
Guatica,guatica
Guic•À_n,guic•À_n
Hacari,hacari
Hato Corozal,hato corozal
Ibague,ibague
Icononzo,icononzo
La Dorada,la dorada
La Esperanza,la esperanza
La Estrella,la estrella
La Jagua de Ib•À_rico,la jagua de ib•À_rico
La Paz,la paz
La Playa,la playa
La Vega,la vega
Lebrija,lebrija
Los C•À_rdobas,los c•À_rdobas
Los Palmitos,los palmitos
Majagual,majagual
Manaure,manaure
Matanza,matanza
Medell•À_n,medell•À_n
Mercaderes,mercaderes
Mesetas,mesetas
Monter•À_a,monter•À_a
Morroa,morroa
Mutat•À_,mutat•À_
Necocl•À_,necocl•À_
Neiva,neiva
Oca•À_a,oca•À_a
Olaya Herrera,olaya herrera
Ortega,ortega
Ovejas,ovejas
Pacora,pacora
Pailitas,pailitas
Palmira,palmira
Pelaya,pelaya
Pe•À_ol,pe•À_ol
Peque,peque
Piedecuesta,piedecuesta
Pinillos,pinillos
Pivijay,pivijay
Planadas,planadas
Planeta Rica,planeta rica
Popay•À_n,popay•À_n
Prado,prado
Provincia del Dari_n,provincia del dari_n
Puerto As•À_s,puerto as•À_s
Puerto Boyac•À_,puerto boyac•À_
Puerto Colombia,puerto colombia
Puerto Gait•À_n,puerto gait•À_n
Puerto Nare,puerto nare
Puerto Rico,puerto rico
Puerto Rond•À_n,puerto rond•À_n
Puerto Wilches,puerto wilches
Quipile,quipile
Remedios,remedios
Restrepo,restrepo
Retiro,retiro
R•À_o de Oro,r•À_o de oro
Rioblanco,rioblanco
Riohacha,riohacha
Rionegro,rionegro
Riosucio,riosucio
Sabana de Torres,sabana de torres
Salgar,salgar
Sampues,sampues
San Alberto,san alberto
San Andr_s de Sotavento,san andr_s de sotavento
San Carlos,san carlos
San Carlos de Guaroa,san carlos de guaroa
San Francisco,san francisco
San Luis,san luis
San Marcos,san marcos
San Mart•À_n,san mart•À_n
San Mart•À_n ,san mart•À_n
San Onofre,san onofre
San Pablo,san pablo
San Pedro de los Milagros,san pedro de los milagros
San Pedro de Urab•À_,san pedro de urab•À_
San Roque,san roque
San Vicente de Chucuri,san vicente de chucuri
Santa Marta,santa marta
Santa Rosa de Cabal,santa rosa de cabal
Santa Rosa de Osos,santa rosa de osos
Santiago,santiago
Santiago de Tol•À_,santiago de tol•À_
Santo Domingo,santo domingo
Santuario,santuario
Saravena,saravena
Sardinata,sardinata
Segovia,segovia
Simacota,simacota
Simit•À_,simit•À_
Sincelejo,sincelejo
Sitio Nuevo,sitio nuevo
Socot•À_,socot•À_
Sotar•À_,sotar•À_
Tado,tado
Tame,tame
T•À_mesis,t•À_mesis
Teorama,teorama
Tib•À_,tib•À_
Tierralta,tierralta
Titirib•À_,titirib•À_
Toluviejo,toluviejo
Tona,tona
Turbo,turbo
Urrao,urrao
Valdivia,valdivia
Valencia,valencia
Valledupar,valledupar
Valledupar ,valledupar
Valparaiso,valparaiso
Vegach•À_,vegach•À_
Villa de Leyva,villa de leyva
Villa del Rosario,villa del rosario
Villavicencio,villavicencio
Yal•À_,yal•À_
Yolomb•À_,yolomb•À_
Yond•À_,yond•À_
Yopal,yopal
Yumbo,yumbo
Zapatoca,zapatoca
Abrego,abrego
Abriaqu•À_,abriaqu•À_
Ach•À_,ach•À_
Aguachica,aguachica
Aguadas,aguadas
Agust•À_n Codazzi,agust•À_n codazzi
Amalfi,amalfi
Andes,andes
Antioquia,antioquia
Anz•À_,anz•À_
Apartad•À_,apartad•À_
Aracataca,aracataca
Arauca,arauca
Arauquita,arauquita
Arboledas,arboledas
Argelia,argelia
Ariguan•À_,ariguan•À_
Arjona,arjona
Ataco,ataco
Barbosa,barbosa
Barrancabermeja,barrancabermeja
Barranquilla,barranquilla
Becerril,becerril
Bel_n de los Andaqu•À_es,bel_n de los andaqu•À_es
Bel_n de Umbr•À_a,bel_n de umbr•À_a
Bello,bello
Bogot•À_ D.C.,bogot•À_ d.c.
Bol•À_var,bol•À_var
Bosconia,bosconia
C•À_ceres,c•À_ceres
Cali,cali
Caloto,caloto
Ca•À_asgordas ,ca•À_asgordas
C•À_queza,c•À_queza
Carepa,carepa
Carmen de Viboral,carmen de viboral
Cartagena,cartagena
Cartago,cartago
Caucasia,caucasia
Cerro San Antonio,cerro de san antonio
Chal•À_n,chal•À_n
Chaparral,chaparral
Chigorod•À_,chigorod•À_
Chiriguan•À_,chiriguan•À_
Chitaga,chitaga
Cienaga,cienaga
Coloso,coloso
Corinto,corinto
Coyaima,coyaima
C•À_cuta,c•À_cuta
Cucutilla,cucutilla
Curuman•À_,curuman•À_
Dabeiba,dabeiba
