Departamento,Municipo,CodigoDANE,NumeroSolicitudes,NumeroPredios,NumeroTitulares
Valle Del Cauca,El Cairo,76246,25,20,15
Valle Del Cauca,El Cerrito,76248,22,20,18
Valle Del Cauca,El Dovio,7625,127,96,54
Valle Del Cauca,Florida,76275,55,51,36
Valle Del Cauca,Ginebra,76306,36,26,18
Valle Del Cauca,Guacarí,76318,15,13,11
Valle Del Cauca,Guadalajara De Buga,76111,168,106,116
Valle Del Cauca,Jamundí,76364,217,202,156
Valle Del Cauca,La Cumbre,76377,38,35,19
Valle Del Cauca,La Unión,764,18,16,8
Valle Del Cauca,La Victoria,76403,3,2,3
Valle Del Cauca,Obando,76497,14,8,7
Valle Del Cauca,Palmira,7652,89,88,71
Valle Del Cauca,Pradera,76563,77,64,58
Valle Del Cauca,Restrepo,76606,13,3,6
Valle Del Cauca,Riofrío,76616,131,114,73
Valle Del Cauca,Roldanillo,76622,35,29,18
Valle Del Cauca,San Pedro,7667,49,42,31
Valle Del Cauca,Sevilla,76736,78,64,49
Valle Del Cauca,Toro,76823,6,6,3
Valle Del Cauca,Trujillo,76828,307,207,177
Valle Del Cauca,Tuluá,76834,471,354,336
Valle Del Cauca,Ulloa,76845,8,3,8
Valle Del Cauca,Versalles,76863,10,9,8
Valle Del Cauca,Vijes,76869,11,10,9
Valle Del Cauca,Yotoco,7689,10,10,6
Valle Del Cauca,Yumbo,76892,6,5,6
Valle Del Cauca,Zarzal,76895,23,8,7
Vaupés,Carurú,97161,32,32,27
Vaupés,Mitú,97001,29,27,24
Vaupés,Pacoa,97511,11,11,11
Vaupés,Taraira,97666,1,1,1
Vichada,Cumaribo,99773,692,668,495
Vichada,La Primavera,99524,93,90,71
Vichada,Puerto Carreño,99001,17,17,11
Vichada,Santa Rosalía,99624,31,30,19
